,age,education,default,balance,housing,loan,month,duration,campaign,pdays,previous,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown
28,36,2,0,753,1,0,6,351,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,28,2,0,-185,1,1,5,170,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,42,2,0,429,0,0,1,96,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
31,29,3,0,1218,0,0,1,258,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,34,3,0,11,1,0,11,123,1,124,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
33,58,1,0,935,1,0,6,272,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,60,3,0,3461,0,0,5,94,2,112,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
35,56,2,0,1560,1,0,7,89,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,35,2,0,394,1,0,5,154,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
37,45,3,0,2359,0,0,8,199,7,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
38,33,3,0,1998,0,0,11,570,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,44,3,0,3812,0,0,11,172,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,43,0,0,5172,1,0,5,57,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,35,3,0,355,1,0,5,183,2,355,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,59,2,0,1449,1,1,7,437,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
43,36,2,0,106,1,0,2,51,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44,43,2,0,1387,0,0,7,296,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
45,44,1,0,343,1,1,5,19,7,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,60,2,0,496,1,0,5,655,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
47,57,1,0,-64,1,0,7,147,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
48,49,2,0,0,0,0,8,189,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,34,2,0,186,0,0,2,342,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,27,2,0,119,1,0,7,781,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
51,38,3,0,7303,1,0,4,164,6,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
52,44,2,0,781,1,0,8,112,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
53,42,0,0,2193,0,0,7,305,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
54,49,2,0,24,0,1,8,168,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
55,32,3,0,2349,0,0,8,134,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
56,47,1,0,421,1,1,6,52,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
57,58,2,0,451,0,0,8,729,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
58,31,2,0,1358,1,0,6,527,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
59,34,1,0,654,0,0,6,604,14,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
60,51,2,0,907,1,0,7,722,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
61,26,3,0,8,1,1,5,262,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
62,29,3,0,8103,0,0,5,473,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
63,63,2,0,367,0,0,9,173,1,182,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
64,45,2,0,561,1,0,5,340,7,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
65,28,3,0,4099,0,0,4,116,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,40,3,0,0,0,0,5,41,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
67,64,1,0,768,0,0,1,371,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
68,58,3,0,-1598,1,0,7,104,7,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
69,36,2,0,133,0,0,1,632,3,228,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70,52,2,0,698,0,0,7,38,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
71,39,1,0,169,1,0,5,133,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
72,35,3,0,2123,1,0,7,249,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
73,34,3,0,340,1,0,6,633,28,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,28,2,0,0,0,0,2,15,8,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
75,30,3,0,4328,0,0,4,262,3,189,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
76,72,1,0,4657,0,0,3,255,1,91,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
77,56,2,0,3337,1,0,11,99,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
78,33,2,0,-74,1,0,7,198,4,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
79,43,0,0,245,1,1,5,112,4,369,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
80,52,2,0,-17,1,0,5,37,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
81,34,2,0,1076,0,0,8,70,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
82,25,2,0,366,0,1,5,102,2,364,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
83,36,1,0,345,1,0,7,400,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,37,3,0,197,0,0,11,175,1,200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
85,55,2,0,233,1,0,5,813,2,351,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
86,38,1,0,-87,1,0,5,531,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
87,44,3,0,1588,1,0,6,84,15,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
88,57,3,0,779,1,0,5,282,1,367,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
89,40,3,0,1953,1,0,6,112,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
90,30,3,0,24,1,0,1,207,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
91,55,1,0,113,0,0,8,306,1,457,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
92,33,2,0,3269,0,1,11,381,1,126,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
93,37,3,1,0,1,0,5,93,14,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
94,31,3,0,1015,0,0,8,112,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
95,41,3,0,6000,1,0,11,265,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
96,34,3,0,4714,1,1,5,123,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
97,44,1,0,4031,1,0,5,983,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
98,50,3,0,0,0,0,1,199,1,205,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
99,25,3,0,1693,0,0,6,96,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
100,33,2,0,220,1,0,5,345,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
101,53,2,0,208,0,0,6,333,15,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,28,3,0,725,0,0,2,137,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
103,31,2,0,202,1,0,7,146,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
104,56,0,0,0,0,0,8,130,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
105,38,2,0,889,0,1,6,362,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
106,48,2,0,133,1,1,1,451,1,197,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
107,29,2,0,79,1,0,5,811,1,334,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
108,34,3,0,-322,0,0,5,198,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
109,32,2,0,3950,1,0,5,232,1,178,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
110,52,1,0,64,0,0,6,9,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
111,53,1,0,4143,0,0,7,200,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
112,37,3,0,2317,1,0,4,114,1,152,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
113,57,3,0,3571,0,0,5,708,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
114,47,2,0,24,0,0,8,271,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
115,31,3,0,10215,0,0,8,139,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
116,41,2,0,-224,1,0,2,108,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
117,48,1,0,0,1,0,6,107,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
118,37,3,0,247,0,0,8,625,6,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
119,29,3,0,53,0,0,2,128,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
120,48,2,0,0,0,0,7,330,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
121,57,2,0,975,0,0,7,166,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
122,27,1,0,106,1,0,5,150,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
123,26,2,0,125,0,0,10,63,1,63,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
124,33,2,0,3,0,0,8,212,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
125,56,2,0,1989,0,0,2,336,2,281,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
126,68,1,0,1759,0,0,4,185,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
127,30,2,0,1112,0,0,7,133,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
128,34,3,0,2,1,0,5,60,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
129,20,2,0,29,0,0,9,85,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
130,40,1,0,1231,1,1,5,184,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
131,36,2,0,50,0,0,2,38,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
132,38,1,0,154,1,0,5,197,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
133,51,2,0,397,1,0,8,293,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
134,29,1,0,608,1,0,5,184,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
135,40,2,0,4610,0,0,8,154,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
136,47,2,0,1875,1,0,7,157,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
137,56,2,0,473,1,0,5,416,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
138,41,1,0,156,1,0,5,47,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
139,51,3,0,2430,0,0,8,266,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
140,33,2,0,557,1,0,11,89,1,91,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
141,43,3,0,443,1,0,5,219,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
142,34,2,0,-297,1,0,5,92,4,353,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
143,50,2,0,797,1,0,11,205,3,119,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
144,33,2,0,930,0,1,7,149,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
145,59,2,0,-247,1,0,5,131,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
146,55,3,0,13578,0,0,10,247,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
147,27,2,0,36,0,1,7,114,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
148,29,3,0,573,1,1,6,190,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
149,39,2,0,1508,0,0,7,281,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
150,40,2,0,163,0,0,8,158,7,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
151,25,2,0,-55,1,1,7,242,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
152,40,0,0,486,1,0,5,97,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
153,37,3,0,387,0,0,7,128,2,419,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
154,32,0,0,196,1,0,5,196,6,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
155,23,2,0,4545,0,0,6,200,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
156,47,2,0,26,0,1,7,71,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
157,34,2,1,879,1,0,4,712,1,344,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
158,35,2,0,507,0,0,6,43,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
159,33,2,0,101,1,0,5,235,2,361,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
160,61,3,0,2,0,0,8,131,1,114,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
161,34,3,0,586,1,0,2,43,5,263,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
162,56,2,0,393,0,1,12,103,1,206,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
163,44,1,0,51,0,0,7,289,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
164,22,2,0,-295,1,0,6,150,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
165,35,3,0,2988,1,0,5,179,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
166,45,2,0,625,0,0,6,13,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
167,44,0,0,282,0,0,3,700,2,154,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
168,22,3,0,1161,0,1,6,119,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
169,45,2,0,115,1,0,5,108,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
170,40,2,0,6767,1,0,11,97,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
171,42,2,0,578,0,0,1,44,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
172,56,1,0,334,0,0,8,128,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
173,52,3,0,618,1,1,5,166,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
174,38,3,0,569,1,0,2,105,2,252,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
175,53,0,0,18,0,0,5,503,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
176,46,3,0,-130,1,0,3,144,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
177,47,1,0,683,1,0,7,106,12,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
178,30,1,0,201,1,0,8,219,1,157,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
179,49,2,0,0,0,0,8,66,17,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
180,45,1,0,847,0,0,7,294,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
181,38,3,0,5774,1,0,5,406,4,359,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
182,38,2,0,6728,0,0,11,232,1,96,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
183,37,3,0,804,1,0,11,94,1,170,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
184,59,1,0,1634,1,1,8,836,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
185,56,3,0,382,0,0,6,244,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
186,33,2,0,1529,1,0,11,41,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
187,30,1,0,1527,0,0,4,94,7,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
188,46,2,0,3434,0,1,6,148,2,101,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
189,35,1,0,0,0,0,6,200,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
190,41,2,0,-140,0,1,6,190,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
191,52,2,0,4873,0,0,2,381,6,213,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
192,46,3,0,-3,0,0,8,728,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
193,54,3,0,1197,1,1,7,11,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
194,50,2,0,2406,1,0,7,197,5,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
195,39,3,0,0,1,1,7,301,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
196,45,2,0,-302,1,0,5,78,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
197,52,2,0,1135,1,0,5,248,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
198,38,1,0,1630,1,0,6,101,3,94,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
199,51,3,0,15904,0,0,8,504,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
200,31,3,0,5,0,1,2,75,1,206,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
201,32,2,0,201,1,0,2,71,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
202,25,2,0,3,0,0,7,136,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
203,31,2,0,1787,1,0,5,201,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
204,31,1,0,985,1,0,5,178,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
205,27,2,0,1,1,0,6,261,8,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
206,41,3,0,0,0,1,5,330,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
207,53,3,0,2013,0,0,8,268,14,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
208,37,0,0,189,0,0,6,162,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
209,36,2,0,15,0,0,11,186,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
210,45,2,0,52,1,0,2,122,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
211,40,2,0,-105,1,0,5,385,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
212,35,2,0,0,1,0,6,113,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
213,35,2,0,63,1,0,4,139,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
214,34,0,0,1534,1,0,4,156,1,147,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
215,35,2,0,0,0,0,7,740,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
